road,improve,scale,dead,change
中坡北路,改善或不變,21,8,23
中華路1段,惡化,10,15,8
健康路,改善或不變,16,14,19.5
光復南北路,惡化,17,17,13
內湖路1段,惡化,20,9,9
八德路3、4段,惡化,12,11,14
公園路,惡化,4,6,7
南京東西路,惡化,5,3,5
和平東路1、2、3段,惡化,13,16,6
基隆路1、3段,惡化,14,21,15
塔悠路,惡化,1,2,1
寶慶路,惡化,18,20,12
建國北路3段,改善或不變,2,7,24
忠孝東路6段,改善或不變,19,22,19.5
愛國東路,惡化,9,23,16
新生南路3段,惡化,24,24,10
杭州南路2段,改善或不變,3,1,18
松江路,惡化,15,10,2
民族東路,惡化,8,4,3
福國路,惡化,22,12,4
福林路,惡化,11,13,21
立賢路,惡化,23,5,11
羅斯福路1、2段,惡化,7,18,17
至善路2段,改善或不變,6,19,22
