,lon,lat,value,radius
108228,121.509748,25.111857999999998,2,9
108364,121.524173,25.047705999999998,3,27
108373,121.52380600000001,25.04635,2,9
108409,121.546392,25.136999,2,9
108459,121.52195400000001,25.023853,2,9
108472,121.506751,25.117955,3,27
108477,121.517632,25.053328,2,9
108482,121.50241499999998,25.045621,1,3
108483,121.538409,25.067743,3,27
108491,121.539258,25.062282999999997,2,9
108514,121.547627,25.020132,2,9
108538,121.544257,25.057825,3,27
108541,121.53008899999999,25.040604000000002,3,27
108542,121.54071200000001,24.996751999999997,3,27
108587,121.527447,25.114407,2,9
108588,121.510605,25.088942000000003,2,9
108620,121.553257,25.030894,2,9
108623,121.543627,25.039901,2,9
108624,121.5257,25.074587,2,9
108637,121.541347,24.991532,2,9
108641,121.537778,25.113564,2,9
108669,121.525884,25.026958,3,27
108693,121.49625800000001,25.098769,2,9
108723,121.511222,25.062799,3,27
108774,121.57933600000001,25.001067000000003,2,9
108778,121.611268,25.053881,3,27
108781,121.46592700000001,25.126664,2,9
108795,121.565193,25.050061,2,9
108827,121.57681200000002,25.078825,2,9
108853,121.56433799999999,25.026482,1,3
108856,121.54425400000001,25.057676999999998,2,9
108872,121.530143,25.156553,1,3
108906,121.55968,25.084379000000002,2,9
108907,121.619657,25.042742,2,9
108913,121.563639,25.026581,1,3
108964,121.58202800000001,25.06808,3,27
109003,121.49685900000001,25.031013,3,27
109016,121.48671100000001,25.061453,1,3
109024,121.513241,25.081087,2,9
109028,121.539123,25.068076,3,27
109044,121.502401,25.137048,2,9
109050,121.521442,25.044577,3,27
109065,121.511104,25.110905,2,9
109070,121.500456,25.036373,2,9
109081,121.527317,25.04854,3,27
109140,121.507545,25.091499,2,9
109166,121.550917,25.115884,2,9
109204,121.546071,25.152182,1,3
109318,121.530828,25.046882999999998,2,9
109344,121.58161399999999,25.049545000000002,3,27
109358,121.521468,25.022879999999997,2,9
109386,121.516827,25.110873,3,27
109392,121.499715,25.132786,2,9
109393,121.501471,25.036594,2,9
109394,121.616533,25.054302,2,9
109395,121.61661699999999,25.059395000000002,2,9
109410,121.56365900000002,25.011426999999998,4,81
109455,121.538032,25.032614000000002,3,27
109461,121.56416000000002,25.081469,2,9
109464,121.56654499999999,25.080148,3,27
109501,121.530249,25.060328,3,27
109516,121.5755,25.072658999999998,2,9
109521,121.53581000000001,25.112358,3,27
109530,121.54087700000001,25.044296,2,9
109544,121.495251,25.010258,3,27
109564,121.534002,25.058977,2,9
109566,121.548644,25.044686,2,9
109574,121.546856,25.044973000000002,2,9
109590,121.51843500000001,25.048369,2,9
109591,121.60980500000001,25.063515,2,9
109619,121.54236599999999,25.041871,2,9
109635,121.554597,25.040901,2,9
109664,121.542199,25.049964000000003,2,9
109670,121.571748,24.994864,2,9
109679,121.520284,25.029822,4,81
109683,121.56172099999999,24.984491000000002,2,9
109704,121.51593700000001,25.1142,2,9
109712,121.51056799999999,25.053684,3,27
109719,121.55237199999999,24.987795000000002,3,27
109734,121.545278,25.137572,2,9
109779,121.52579899999999,25.078295999999998,2,9
109782,121.51515800000001,25.112464000000003,2,9
109783,121.55216000000001,25.153306,3,27
109806,121.55839399999999,25.037154,2,9
109865,121.516977,25.107260999999998,2,9
109890,121.48423700000001,25.112111,2,9
109935,121.539722,25.042742999999998,2,9
109942,121.54234699999999,25.028437,2,9
109968,121.558085,25.006122,2,9
110022,121.50854,25.052006,2,9
110025,121.54385500000001,25.048328,2,9
110030,121.50893899999998,25.088162,2,9
110031,121.56274099999999,25.013653,2,9
110041,121.46551699999999,25.125872,2,9
110067,121.561415,25.03306,2,9
110078,121.57786999999999,25.045478,3,27
110120,121.596899,25.078460999999997,2,9
110148,121.504806,25.120883,2,9
110177,121.507277,25.030579,2,9
110178,121.517953,25.039407999999998,2,9
110212,121.571129,24.991702,2,9
110225,121.56437,24.978763,1,3
110233,121.573249,25.041239,1,3
110238,121.49533799999999,25.020758999999998,2,9
110260,121.52266100000001,25.052326,2,9
110263,121.506557,25.035566,2,9
110281,121.53313500000002,25.062461,2,9
110325,121.56367900000001,25.041264,2,9
110330,121.513218,25.029198,3,27
110337,121.591586,25.085237,2,9
110340,121.56835500000001,25.032761999999998,1,3
110355,121.53346599999999,25.015331,3,27
110356,121.568931,25.048925,2,9
110357,121.56083600000001,25.0259,2,9
110366,121.56570900000001,25.054513,2,9
110367,121.508924,25.087685999999998,2,9
110375,121.540472,25.052063,2,9
110381,121.547224,25.054514,2,9
110387,121.54685,25.019519,2,9
