,lon,lat,hurt,radius,color,group,type
7544,121.51924,25.072742,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7545,121.57378100000001,24.988371,1,1,#DDD23B,其他路段,普通重型-機車;民營公車-大客車
7546,121.51591599999999,25.106928,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車;民營公車-大客車
7547,121.57351399999999,25.084956,1,1,#DDD23B,其他路段,普通重型-機車;營業用-小貨車
7548,121.555182,25.018757,2,3,#DDD23B,其他路段,普通重型-機車;腳踏自行車-慢車
7549,121.548872,25.082975,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7550,121.511844,25.054072,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7551,121.50108200000001,25.139229999999998,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7552,121.559459,25.048244,1,1,#DDD23B,八德路3、4段,計程車-小客車;普通重型-機車
7553,121.60414899999999,25.083389,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7554,121.516879,25.027929999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7555,121.50118700000002,25.090765,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7556,121.52626799999999,25.116398,2,3,#DDD23B,其他路段,計程車-小客車;普通重型-機車;普通重型-機車
7557,121.51175,25.088265,2,3,#DDD23B,其他路段,腳踏自行車-慢車;普通重型-機車
7558,121.55601399999999,25.027210999999998,1,1,#DDD23B,其他路段,普通重型-機車
7559,121.541715,25.042759,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7560,121.508427,25.048196,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7561,121.519586,25.043966,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7562,121.615881,25.071455,1,1,#DDD23B,其他路段,普通重型-機車
7563,121.620309,25.076953,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7564,121.509553,25.048463,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7565,121.558977,25.00664,1,1,#DDD23B,其他路段,計程車-小客車;大型重型2-機車
7566,121.592479,25.053844,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7567,121.568398,24.990922,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7568,121.54378,25.063476,2,3,#DDD23B,其他路段,普通重型-機車;自用-小客車
7569,121.58635,25.063935,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7570,121.5337,25.016981,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7571,121.52804499999999,25.052292,1,1,#DDD23B,南京東西路,自用-小客車;普通重型-機車
7573,121.576194,25.040392999999998,2,3,#DDD23B,其他路段,普通重型-機車;普通輕型-機車
7574,121.53006299999998,25.019217,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7575,121.51548000000001,25.090881,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
