Area,station,PM25,degree,moist
中部空品區,南投,33.6993946967314,10.17,52.56
中部空品區,南投,29.2643428127345,11.16,54.36
中部空品區,南投,33.7165133755492,12.39,50.16
中部空品區,南投,28.7869268642946,13.5334811366977,62.3502564664621
中部空品區,南投,23.9131926314495,15.8659941520468,61.7962857142857
中部空品區,南投,25.3212908557611,11.6137244666364,59.97
中部空品區,埔里,36.5098694458315,10.85,51.39
中部空品區,埔里,29.646289678924,12.95,57.06
中部空品區,埔里,33.2603604200056,11.84,54.6
中部空品區,埔里,28.5846334155965,13.8734811366977,61.9752564664621
中部空品區,埔里,26.1619628444676,15.2033718900044,59.4348076052512
中部空品區,埔里,21.509691613878,11.9187244666364,61.38
中部空品區,竹山,38.2564525190676,9.13,55.19
中部空品區,竹山,37.9464963133372,10.19,56.45
中部空品區,竹山,37.5526089031856,11.43,50.4
中部空品區,竹山,27.3092729345147,13.2584811366977,58.2502564664621
中部空品區,竹山,26.7900960828504,15.3483718900044,58.4048076052512
中部空品區,竹山,23.7774170402904,11.0887244666364,64.0559920449228
雲嘉南空品區,嘉義,46.9327013149864,10.77,45.49
雲嘉南空品區,嘉義,38.1737597491185,11.41,52.18
雲嘉南空品區,嘉義,40.0435782930911,12.58,47.29
雲嘉南空品區,嘉義,28.6938883191299,14.0684811366977,57.5702564664621
雲嘉南空品區,嘉義,24.4060003845531,15.9209941520468,53.0898076052512
雲嘉南空品區,嘉義,25.5653331633978,6.42,55.8
雲嘉南空品區,新港,36.3228690417771,9.81,47.86
雲嘉南空品區,新港,33.9948009216532,10.53,57.9
雲嘉南空品區,新港,33.9062021482664,11.99,49.7
雲嘉南空品區,新港,27.1046026048443,13.5934811366977,61.5352564664621
雲嘉南空品區,新港,23.3410336785321,15.2659941520468,61.1148076052512
雲嘉南空品區,新港,24.1536723283321,11.3737244666364,60.7
雲嘉南空品區,朴子,36.0484792124136,11.23,53.96
雲嘉南空品區,朴子,32.3674365252686,12.01,52.54
雲嘉南空品區,朴子,32.2561247759879,13.06,41.93
雲嘉南空品區,朴子,27.897215231545,14.3034811366977,58.1577738825592
雲嘉南空品區,朴子,22.7990365714915,16.3009941520468,56.7798076052512
雲嘉南空品區,朴子,24.662379642722,12.7337244666364,47.31
,基隆,20.2966562365683,9.78,34.75
,基隆,18.0073085642018,10.6,50.31
,基隆,18.3873626373626,11.99,52.1
,基隆,22.3184073584472,13.3384811366977,59.9002564664621
,基隆,19.9340310442488,14.9659941520468,63.6437160385627
,基隆,16.0100131695466,11.5487244666364,59.93
宜蘭空品區,冬山,19.4960162429514,9.21,47.56
宜蘭空品區,冬山,16.5213023625174,11.08,59.29
宜蘭空品區,冬山,18.62915504135,11.32,59.41
宜蘭空品區,冬山,21.2186135938553,14.0284811366977,63.1102564664621
宜蘭空品區,冬山,19.2637320379439,14.4709941520468,58.98
宜蘭空品區,冬山,12.6400899679789,12.0037244666364,60.7359920449228
宜蘭空品區,宜蘭,20.1288475675268,8.97,40.54
宜蘭空品區,宜蘭,19.1170294860967,10.74,52.82
宜蘭空品區,宜蘭,20.7884615384615,11.12,57.71
宜蘭空品區,宜蘭,19.94388831913,14.0634811366977,60.1777738825592
宜蘭空品區,宜蘭,18.1803375269567,14.3409941520468,49.83
宜蘭空品區,宜蘭,14.1577232535802,11.3787244666364,61.4459920449228
高屏空品區,屏東,40.4637290413659,13.59,54.35
高屏空品區,屏東,37.5336717152665,14.1,53.69
高屏空品區,屏東,42.5263255930575,14.76,50.03
高屏空品區,屏東,26.4520771193401,13.31,57.3952564664621
高屏空品區,屏東,24.0045097693692,16.9859941520468,52.9248076052512
高屏空品區,屏東,25.8235510585648,12.1887244666364,61.98
高屏空品區,恆春,13.4065002722844,15.41,1.01
高屏空品區,恆春,13.2527376707467,16.93,57.47
高屏空品區,恆春,14.584568320674,15.61,58.59
高屏空品區,恆春,17.537607816898,16.5084811366977,60.7902564664621
高屏空品區,恆春,15.829739633933,17.1167437800087,65.5556069868996
高屏空品區,恆春,11.3982014773447,14.3287244666364,67.4959920449228
高屏空品區,潮州,44.4550638163919,14.26,54.05
高屏空品區,潮州,38.7763537067258,15.03,64.27
高屏空品區,潮州,41.5741758241758,14.2,58.19
高屏空品區,潮州,27.3745550585716,15.3552447552448,63.1402564664621
高屏空品區,潮州,24.3520765278634,16.4759941520468,58.8748076052512
高屏空品區,潮州,26.4420341000523,12.2487244666364,67.3759920449228
中部空品區,二林,37.3459517430065,10.25,52.4
中部空品區,二林,32.9044365425575,10.86,56.41
中部空品區,二林,34.1997355907721,11.88,47.95
中部空品區,二林,29.0882447671583,13.9034811366977,61.8552564664621
中部空品區,二林,24.8858838134582,15.6709941520468,62.6648076052512
中部空品區,二林,21.1078703587113,12.2537244666364,60.93
中部空品區,彰化,37.1510063302048,8.97,49.72
中部空品區,彰化,32.0878153850349,10.35,48.16
中部空品區,彰化,34.2986575863206,11.1,40.43
中部空品區,彰化,26.9144091539344,12.7984811366977,57.4502564664621
中部空品區,彰化,22.7132528070606,15.0159941520468,56.9548076052512
中部空品區,彰化,23.1071560266895,10.7137244666364,56.5659920449228
中部空品區,線西,31.4026221993335,9.9,53.35
中部空品區,線西,26.6026120213543,10.91,55.15
中部空品區,線西,29.6721922644281,11.82,45.76
中部空品區,線西,25.7817813803258,13.3534811366977,60.5077738825592
中部空品區,線西,22.9987364414433,15.3609941520468,59.3048076052512
中部空品區,線西,24.5093182724886,11.4187244666364,59.0059920449228
北部空品區,三重,33.904194035637,9.08,22.9
北部空品區,菜寮,27.6733515980592,9.51,21.14
