Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,Team
DeAndre'Bembry,Jeremy Lin,26,9.55,30,0.3,1,3,0.311,ATL
DewayneDedmon,DeAndre' Bembry,20,9.6,24,0.8,1.2,1.95,0.3355,ATL
OmariSpellman,Trae Young,30,12.5,20,0.35,0.75,4.55,0.334,ATL
JeremyLin,Kent Bazemore,8,11.15,29,0.35,1,2.9,0.3265,ATL
AlexPoythress,Trae Young,10,12.1,20,0.35,0.55,4.45,0.3575,ATL
DeAndre'Bembry,Tyler Dorsey,1,5.85,22,0.25,0.8,1.55,0.2725,ATL
KevinHuerter,Alex Len,6,10.4,25,0.6,0.65,2,0.374,ATL
JeremyLin,Miles Plumlee,5,7.55,30,0.15,0.5,2.2,,ATL
KentBazemore,Alex Len,13,11.35,25,0.75,0.85,1.7,0.3415,ATL
OmariSpellman,DeAndre' Bembry,14,7.15,24,0.5,0.95,1.75,0.3165,ATL
AlexPoythress,DeAndre' Bembry,7,6.75,24,0.5,0.75,1.65,0.34,ATL
JeremyLin,Alex Len,9,10.9,25,0.5,0.55,2.3,0.348,ATL
KentBazemore,Kevin Huerter,11,10.65,20,0.45,1.1,2.6,0.3525,ATL
JeremyLin,Alex Poythress,4,7.9,25,0.3,0.45,2.15,0.362,ATL
DewayneDedmon,Jeremy Lin,20,10.75,30,0.6,0.9,2.45,0.3575,ATL
JeremyLin,DeAndre' Bembry,10,9.55,24,0.3,1,3,0.311,ATL
AlexLen,Jeremy Lin,29,10.9,30,0.5,0.55,2.3,0.348,ATL
JeremyLin,Dewayne Dedmon,4,10.75,29,0.6,0.9,2.45,0.3575,ATL
AlexPoythress,Omari Spellman,1,5.5,21,0.5,0.4,0.9,0.3675,ATL
VinceCarter,Jeremy Lin,14,9.05,30,0.25,0.65,2.3,0.361,ATL
KevinHuerter,Alex Poythress,2,7.4,25,0.4,0.55,1.85,0.388,ATL
AlexPoythress,Jeremy Lin,3,7.9,30,0.3,0.45,2.15,0.362,ATL
KevinHuerter,Omari Spellman,6,7.8,21,0.4,0.75,1.95,0.3645,ATL
DeAndre'Bembry,Miles Plumlee,3,6.4,30,0.35,0.8,1.7,,ATL
VinceCarter,Omari Spellman,3,6.65,21,0.45,0.6,1.05,0.3665,ATL
OmariSpellman,Tyler Dorsey,2,4.6,22,0.25,0.45,0.8,0.3,ATL
KevinHuerter,Jeremy Lin,18,10.2,30,0.2,0.8,3.2,0.359,ATL
OmariSpellman,Kevin Huerter,6,7.8,20,0.4,0.75,1.95,0.3645,ATL
AlexLen,Tyler Dorsey,3,7.2,22,0.45,0.35,0.85,0.3095,ATL
TraeYoung,Tyler Dorsey,2,11.2,22,0.1,0.6,4.35,0.29,ATL
OmariSpellman,Alex Poythress,1,5.5,25,0.5,0.4,0.9,0.3675,ATL
KentBazemore,Alex Poythress,2,8.35,25,0.55,0.75,1.55,0.3555,ATL
JeremyLin,Trae Young,4,14.9,20,0.15,0.8,5.8,0.3285,ATL
TylerDorsey,Jeremy Lin,3,7.9,30,0.1,0.45,2.15,0.3135,ATL
TylerDorsey,Jeremy Lin,3,7,30,0.05,0.5,2.05,0.2945,ATL
VinceCarter,Alex Len,4,9.25,25,0.65,0.5,1.1,0.376,ATL
AlexPoythress,Alex Len,1,8.1,25,0.7,0.3,0.95,0.377,ATL
DeAndre'Bembry,John Collins,12,13.95,21,0.55,0.85,2.25,0.3185,ATL
AlexPoythress,Jaylen Adams,1,4.15,22,0.3,0.3,1.35,0.3645,ATL
OmariSpellman,Jeremy Lin,10,8.3,30,0.3,0.65,2.25,0.3385,ATL
JaylenAdams,Tyler Dorsey,1,3.25,22,0.05,0.35,1.25,0.297,ATL
TylerDorsey,DeAndre' Bembry,3,5.85,24,0.25,0.8,1.55,0.2725,ATL
KentBazemore,Dewayne Dedmon,12,11.2,29,0.85,1.2,1.85,0.351,ATL
AlexLen,Omari Spellman,2,8.5,21,0.7,0.5,1.05,0.3535,ATL
DeAndre'Bembry,Alex Poythress,1,6.75,25,0.5,0.75,1.65,0.34,ATL
OmariSpellman,Kent Bazemore,8,8.75,29,0.55,0.95,1.65,0.332,ATL
TraeYoung,Miles Plumlee,2,11.75,30,0.2,0.6,4.5,,ATL
KentBazemore,Miles Plumlee,1,8,30,0.4,0.8,1.6,,ATL
JohnCollins,Omari Spellman,1,12.7,21,0.55,0.5,1.5,0.346,ATL
DeAndre'Bembry,Omari Spellman,6,7.15,21,0.5,0.95,1.75,0.3165,ATL
DanielHamilton,Kevin Huerter,3,6.35,20,0.2,0.6,2.05,0.3665,ATL
AlexLen,Daniel Hamilton,8,7.05,23,0.5,0.35,1.15,0.3555,ATL
DanielHamilton,Jeremy Lin,3,6.85,30,0.1,0.5,2.35,0.3405,ATL
VinceCarter,Tyler Dorsey,4,5.35,22,0.2,0.45,0.85,0.3225,ATL
JohnCollins,Tyler Dorsey,2,11.4,22,0.3,0.35,1.3,0.302,ATL
JohnCollins,Daniel Hamilton,4,11.25,23,0.35,0.35,1.6,0.348,ATL
JeremyLin,Daniel Hamilton,2,6.85,23,0.1,0.5,2.35,0.3405,ATL
OmariSpellman,John Collins,2,12.7,21,0.55,0.5,1.5,0.346,ATL
TraeYoung,Jeremy Lin,6,14.9,30,0.15,0.8,5.8,0.3285,ATL
JustinAnderson,Daniel Hamilton,2,3.35,23,0.2,0.4,0.85,0.33,ATL
VinceCarter,Dewayne Dedmon,2,9.1,29,0.75,0.85,1.25,0.3855,ATL
TylerDorsey,Alex Len,4,7.2,25,0.45,0.35,0.85,0.3095,ATL
JohnCollins,Jeremy Lin,16,15.1,30,0.35,0.55,2.75,0.3405,ATL
DeAndre'Bembry,Dewayne Dedmon,9,9.6,29,0.8,1.2,1.95,0.3355,ATL
TylerDorsey,John Collins,1,11.4,21,0.3,0.35,1.3,0.302,ATL
DewayneDedmon,Daniel Hamilton,3,6.9,23,0.6,0.7,1.3,0.365,ATL
