Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,Team
MonteMorris,Juan Hernangómez,6,8.1,23,0.15,0.65,2.2,0.3895,DEN
NikolaJokić,Isaiah Thomas,2,14.1,29,0.4,0.9,4.6,0.293,DEN
IsaiahThomas,Monte Morris,3,9.25,23,0.05,0.65,2.75,0.3465,DEN
JamalMurray,Mason Plumlee,31,13,28,0.65,0.85,3.9,0.2835,DEN
MasonPlumlee,Malik Beasley,18,9.55,22,0.5,0.75,2.1,0.301,DEN
JarredVanderbilt,Monte Morris,1,5.9,23,0.05,0.65,1.9,0.207,DEN
NikolaJokić,Torrey Craig,13,12.9,28,0.65,0.95,4.15,0.3155,DEN
IsaiahThomas,Torrey Craig,3,6.9,28,0.35,0.45,1.45,0.3015,DEN
NikolaJokić,Mason Plumlee,18,13.95,28,0.8,1.1,5.15,0.2535,DEN
PaulMillsap,Malik Beasley,6,11.95,22,0.45,0.95,1.6,0.3835,DEN
TorreyCraig,Isaiah Thomas,4,6.9,29,0.35,0.45,1.45,0.3015,DEN
JamalMurray,Malik Beasley,8,14.75,22,0.25,0.8,3,0.3845,DEN
NikolaJokić,Paul Millsap,34,16.35,33,0.75,1.3,4.65,0.336,DEN
NikolaJokić,Gary Harris,36,16.5,24,0.5,1.2,4.75,0.323,DEN
TreyLyles,Will Barton,10,10,28,0.45,0.45,2.15,0.2985,DEN
TreyLyles,Mason Plumlee,30,8.15,28,0.65,0.65,2.2,0.2275,DEN
MasonPlumlee,Trey Lyles,13,8.15,23,0.65,0.65,2.2,0.2275,DEN
GaryHarris,Monte Morris,14,11.65,23,0.15,0.95,2.9,0.3765,DEN
JuanHernangómez,Monte Morris,13,8.1,23,0.15,0.65,2.2,0.3895,DEN
JuanHernangómez,Trey Lyles,5,7.15,23,0.35,0.45,1.1,0.31,DEN
TreyLyles,Brandon Goodwin,3,4.95,23,0.2,0.25,1.15,0.294,DEN
MonteMorris,Trey Lyles,15,9.45,23,0.2,0.7,2.5,0.3345,DEN
GaryHarris,Trey Lyles,8,10.7,23,0.35,0.75,1.8,0.297,DEN
TorreyCraig,Trey Lyles,4,7.1,23,0.5,0.5,1.2,0.2895,DEN
TreyLyles,Monte Morris,46,9.45,23,0.2,0.7,2.5,0.3345,DEN
MalikBeasley,Trey Lyles,14,9.9,23,0.25,0.6,1.3,0.3285,DEN
TreyLyles,Malik Beasley,7,9.9,22,0.25,0.6,1.3,0.3285,DEN
TorreyCraig,Jamal Murray,18,11.95,21,0.5,0.7,2.9,0.3455,DEN
MalikBeasley,Brandon Goodwin,5,6.35,23,0.05,0.35,1.05,0.3675,DEN
MalikBeasley,Tyler Lydon,3,6.1,22,0.05,0.4,0.7,0.401,DEN
MalikBeasley,Thomas Welsh,2,6.45,22,0.05,0.35,0.85,0.4155,DEN
TorreyCraig,Paul Millsap,8,9.15,33,0.7,0.85,1.5,0.3445,DEN
JuanHernangómez,Mason Plumlee,15,6.8,28,0.6,0.6,1.9,0.2825,DEN
MasonPlumlee,Juan Hernangómez,7,6.8,23,0.6,0.6,1.9,0.2825,DEN
MasonPlumlee,Jamal Murray,28,13,21,0.65,0.85,3.9,0.2835,DEN
GaryHarris,Jamal Murray,18,15.55,21,0.35,0.95,3.5,0.353,DEN
PaulMillsap,Torrey Craig,6,9.15,28,0.7,0.85,1.5,0.3445,DEN
TreyLyles,Juan Hernangómez,4,7.15,23,0.35,0.45,1.1,0.31,DEN
TorreyCraig,Gary Harris,6,9.3,24,0.45,0.75,1.6,0.3315,DEN
GaryHarris,Nikola Jokić,85,16.5,23,0.5,1.2,4.75,0.323,DEN
MalikBeasley,Torrey Craig,9,8.5,28,0.35,0.6,1.1,0.363,DEN
MalikBeasley,Paul Millsap,14,11.95,33,0.45,0.95,1.6,0.3835,DEN
TreyLyles,Paul Millsap,2,10.55,33,0.6,0.85,1.7,0.31,DEN
MonteMorris,Torrey Craig,4,8.05,28,0.3,0.7,2.3,0.369,DEN
WillBarton,Gary Harris,10,12.2,24,0.4,0.7,2.55,0.3405,DEN
WillBarton,Paul Millsap,10,12.05,33,0.65,0.8,2.45,0.3535,DEN
MasonPlumlee,Paul Millsap,3,10.2,33,0.85,1,2.5,0.2825,DEN
MalikBeasley,Jarred Vanderbilt,2,6.35,19,0.1,0.55,0.7,0.201,DEN
MonteMorris,Tyler Lydon,1,5.65,22,0,0.5,1.9,0.407,DEN
TorreyCraig,Will Barton,5,8.6,28,0.55,0.45,1.95,0.333,DEN
MalikBeasley,Juan Hernangómez,7,8.55,23,0.2,0.55,1,0.3835,DEN
JamalMurray,Torrey Craig,11,11.95,28,0.5,0.7,2.9,0.3455,DEN
GaryHarris,Will Barton,11,12.2,28,0.4,0.7,2.55,0.3405,DEN
TorreyCraig,Malik Beasley,3,8.5,22,0.35,0.6,1.1,0.363,DEN
MasonPlumlee,Torrey Craig,7,6.75,28,0.75,0.65,2,0.262,DEN
JamalMurray,Gary Harris,16,15.55,24,0.35,0.95,3.5,0.353,DEN
NikolaJokić,Juan Hernangómez,10,12.95,23,0.5,0.9,4.05,0.336,DEN
PaulMillsap,Gary Harris,23,12.75,24,0.55,1.1,2.1,0.352,DEN
JuanHernangómez,Torrey Craig,7,5.75,28,0.45,0.45,0.9,0.3445,DEN
ThomasWelsh,Jarred Vanderbilt,1,1.5,19,0.05,0.2,0.35,0.2145,DEN
ThomasWelsh,Torrey Craig,1,3.65,28,0.3,0.25,0.75,0.3765,DEN
JarredVanderbilt,Thomas Welsh,1,1.5,22,0.05,0.2,0.35,0.2145,DEN
JuanHernangómez,Jamal Murray,22,12,21,0.35,0.65,2.8,0.366,DEN
JuanHernangómez,Nikola Jokić,44,12.95,23,0.5,0.9,4.05,0.336,DEN
GaryHarris,Torrey Craig,4,9.3,28,0.45,0.75,1.6,0.3315,DEN
TylerLydon,Malik Beasley,1,6.1,22,0.05,0.4,0.7,0.401,DEN
TylerLydon,DeVaughn Akoon-Purcell,2,0.95,25,0,0.2,0.55,0.2,DEN
DeVaughnAkoon-Purcell,Trey Lyles,1,4.75,23,0.2,0.4,1.15,0.1275,DEN
MalikBeasley,DeVaughn Akoon-Purcell,3,6.15,25,0.05,0.5,1.05,0.201,DEN
JuanHernangómez,Paul Millsap,3,9.2,33,0.55,0.8,1.4,0.365,DEN
PaulMillsap,Juan Hernangómez,5,9.2,23,0.55,0.8,1.4,0.365,DEN
JamalMurray,Trey Lyles,14,13.35,23,0.4,0.7,3.1,0.311,DEN
GaryHarris,Juan Hernangómez,3,9.35,23,0.3,0.7,1.5,0.352,DEN
TorreyCraig,Juan Hernangómez,7,5.75,23,0.45,0.45,0.9,0.3445,DEN
TreyLyles,Jamal Murray,22,13.35,21,0.4,0.7,3.1,0.311,DEN
NikolaJokić,Trey Lyles,8,14.3,23,0.55,0.95,4.35,0.281,DEN
TreyLyles,Gary Harris,3,10.7,24,0.35,0.75,1.8,0.297,DEN
DeVaughnAkoon-Purcell,Monte Morris,1,5.7,23,0,0.6,2.25,0.207,DEN
JamalMurray,Juan Hernangómez,5,12,23,0.35,0.65,2.8,0.366,DEN
TreyLyles,Nikola Jokić,13,14.3,23,0.55,0.95,4.35,0.281,DEN
MalikBeasley,Gary Harris,6,12.1,24,0.2,0.85,1.7,0.3705,DEN
TylerLydon,Thomas Welsh,1,1.25,22,0,0.05,0.35,0.4145,DEN
MonteMorris,Brandon Goodwin,2,5.9,23,0,0.45,2.25,0.3735,DEN
JuanHernangómez,Will Barton,1,8.65,28,0.4,0.4,1.85,0.3535,DEN
TylerLydon,Mason Plumlee,1,4.35,28,0.45,0.45,1.6,0.3,DEN
JuanHernangómez,Brandon Goodwin,2,3.6,23,0.15,0.2,0.85,0.349,DEN
ThomasWelsh,Malik Beasley,1,6.45,22,0.05,0.35,0.85,0.4155,DEN
ThomasWelsh,DeVaughn Akoon-Purcell,1,1.3,25,0,0.15,0.7,0.2145,DEN
TylerLydon,Monte Morris,1,5.65,23,0,0.5,1.9,0.407,DEN
JamalMurray,Nick Young,1,10.25,33,0.35,0.45,2.65,0.371,DEN
WillBarton,Trey Lyles,2,10,23,0.45,0.45,2.15,0.2985,DEN
IsaiahThomas,Juan Hernangómez,1,6.95,23,0.2,0.4,1.35,0.322,DEN
MalikBeasley,Isaiah Thomas,4,9.7,29,0.1,0.55,1.55,0.3405,DEN
IsaiahThomas,Malik Beasley,2,9.7,22,0.1,0.55,1.55,0.3405,DEN
WillBarton,Malik Beasley,2,11.4,22,0.3,0.55,2.05,0.372,DEN
TreyLyles,Torrey Craig,4,7.1,28,0.5,0.5,1.2,0.2895,DEN
GaryHarris,Malik Beasley,1,12.1,22,0.2,0.85,1.7,0.3705,DEN
WillBarton,Torrey Craig,2,8.6,28,0.55,0.45,1.95,0.333,DEN
TreyLyles,Tyler Lydon,1,4.7,22,0.2,0.3,0.8,0.3275,DEN
BrandonGoodwin,Trey Lyles,1,4.95,23,0.2,0.25,1.15,0.294,DEN
JarredVanderbilt,Malik Beasley,1,6.35,22,0.1,0.55,0.7,0.201,DEN
JarredVanderbilt,Isaiah Thomas,2,4.75,29,0.1,0.4,1.05,0.1395,DEN
JarredVanderbilt,Trey Lyles,1,4.95,23,0.25,0.45,0.8,0.1275,DEN
IsaiahThomas,Trey Lyles,1,8.3,23,0.25,0.45,1.65,0.267,DEN
JarredVanderbilt,Torrey Craig,1,3.55,28,0.35,0.45,0.6,0.162,DEN
TorreyCraig,Tyler Lydon,1,3.3,22,0.3,0.3,0.6,0.362,DEN
JuanHernangómez,Malik Beasley,4,8.55,22,0.2,0.55,1,0.3835,DEN
JuanHernangómez,Gary Harris,1,9.35,24,0.3,0.7,1.5,0.352,DEN
BrandonGoodwin,Malik Beasley,1,6.35,22,0.05,0.35,1.05,0.3675,DEN
BrandonGoodwin,Thomas Welsh,1,1.5,22,0,0,0.7,0.381,DEN
ThomasWelsh,Brandon Goodwin,2,1.5,23,0,0,0.7,0.381,DEN
MonteMorris,Nick Young,1,6.35,33,0.15,0.45,2.05,0.3945,DEN
ThomasWelsh,Monte Morris,1,6,23,0,0.45,2.05,0.4215,DEN
AndreDrummond,Bruce Brown,16,10.8,22,1.1,1.1,1.3,0.195,DET
BlakeGriffin,Reggie Jackson,109,19.95,28,0.25,0.7,4.8,0.3655,DET
ReggieBullock,Andre Drummond,14,14.7,25,0.9,1.1,1.95,0.26,DET
AndreDrummond,Langston Galloway,17,12.85,27,0.9,1.1,1.25,0.2435,DET
AndreDrummond,Luke Kennard,27,13.5,22,0.95,1.05,1.6,0.263,DET
ReggieJackson,Luke Kennard,13,12.55,22,0.15,0.55,3,0.3815,DET
LangstonGalloway,Ish Smith,41,8.65,30,0.15,0.5,2.35,0.3405,DET
BlakeGriffin,Reggie Bullock,31,18.3,27,0.25,0.6,3.95,0.375,DET
ReggieJackson,Stanley Johnson,4,11.45,22,0.2,0.85,2.75,0.3255,DET
LangstonGalloway,Zaza Pachulia,34,6.15,34,0.2,0.5,1.2,0.1775,DET
LukeKennard,Blake Griffin,32,17.1,29,0.3,0.55,3.6,0.378,DET
AndreDrummond,Blake Griffin,81,20.9,29,1.05,1.2,3.4,0.247,DET
ReggieJackson,Blake Griffin,76,19.95,29,0.25,0.7,4.8,0.3655,DET
IshSmith,Reggie Jackson,2,12.15,28,0.15,0.6,3.9,0.3475,DET
BlakeGriffin,Andre Drummond,12,20.9,25,1.05,1.2,3.4,0.247,DET
LukeKennard,Reggie Jackson,15,12.55,28,0.15,0.55,3,0.3815,DET
LukeKennard,Andre Drummond,10,13.5,25,0.95,1.05,1.6,0.263,DET
ReggieJackson,Ish Smith,5,12.15,30,0.15,0.6,3.9,0.3475,DET
IshSmith,Reggie Bullock,4,10.5,27,0.15,0.5,3.05,0.357,DET
LukeKennard,Zaza Pachulia,18,6.8,34,0.25,0.45,1.55,0.197,DET
BlakeGriffin,Ish Smith,25,16.7,30,0.3,0.6,4.5,0.344,DET
StanleyJohnson,Dennis Smith Jr.,10,10.25,21,0.3,1.1,3.05,0.305,DET
StanleyJohnson,Jason Smith,10,5.1,32,0.3,0.55,1,0.317,DET
StanleyJohnson,Ish Smith,10,8.2,30,0.25,0.75,2.45,0.304,DET
StanleyJohnson,Jason Smith,10,4.65,32,0.05,0.35,1.05,0.305,DET
StanleyJohnson,Justin Jackson,14,7.05,23,0.2,0.65,1.25,0.3215,DET
StanleyJohnson,Reggie Jackson,14,11.45,28,0.2,0.85,2.75,0.3255,DET
StanleyJohnson,Frank Jackson,14,6.7,20,0.05,0.55,1.35,0.319,DET
AndreDrummond,Reggie Bullock,30,14.7,27,0.9,1.1,1.95,0.26,DET
AndreDrummond,Reggie Jackson,86,16.35,28,0.9,1.2,2.8,0.2505,DET
AndreDrummond,Ish Smith,30,13.1,30,0.95,1.1,2.5,0.229,DET
IshSmith,Blake Griffin,12,16.7,29,0.3,0.6,4.5,0.344,DET
AndreDrummond,Stanley Johnson,11,12.4,22,1,1.35,1.35,0.207,DET
ReggieBullock,Justin Jackson,34,9.25,23,0.2,0.5,1.6,0.366,DET
ReggieBullock,Reggie Jackson,34,13.75,28,0.1,0.6,3.35,0.3785,DET
ReggieBullock,Blake Griffin,73,18.3,29,0.25,0.6,3.95,0.375,DET
IshSmith,Andre Drummond,3,13.1,25,0.95,1.1,2.5,0.229,DET
ZazaPachulia,Reggie Jackson,5,9.65,28,0.2,0.6,2.75,0.1845,DET
StanleyJohnson,José Calderón,18,4.9,37,0.2,0.65,1.8,0.264,DET
StanleyJohnson,Luke Kennard,6,8.6,22,0.25,0.7,1.55,0.338,DET
ZazaPachulia,Luke Kennard,4,6.8,22,0.25,0.45,1.55,0.197,DET
ReggieBullock,José Calderón,7,7.2,37,0.1,0.4,2.4,0.317,DET
BruceBrown,José Calderón,10,3.3,37,0.3,0.4,1.75,0.252,DET
JonLeuer,José Calderón,15,3.05,37,0.1,0.3,1.3,0.1685,DET
JonLeuer,Bruce Brown,9,4.05,22,0.3,0.4,0.75,0.1745,DET
ReggieJackson,Reggie Bullock,20,13.75,27,0.1,0.6,3.35,0.3785,DET
ReggieJackson,Bruce Brown,19,9.85,22,0.3,0.6,2.7,0.3135,DET
ReggieJackson,Andre Drummond,28,16.35,25,0.9,1.2,2.8,0.2505,DET
BlakeGriffin,Luke Kennard,12,17.1,22,0.3,0.55,3.6,0.378,DET
LukeKennard,Jon Leuer,4,6.75,29,0.15,0.35,1.05,0.2425,DET
BruceBrown,Reggie Jackson,13,9.85,28,0.3,0.6,2.7,0.3135,DET
JoséCalderón,Zaza Pachulia,5,3.1,34,0.2,0.4,1.8,0.123,DET
LukeKennard,Bruce Brown,6,7,22,0.35,0.45,1.5,0.326,DET
BlakeGriffin,José Calderón,20,13.4,37,0.25,0.5,3.85,0.304,DET
ReggieBullock,Bruce Brown,12,8.2,22,0.3,0.5,1.85,0.323,DET
BlakeGriffin,Bruce Brown,11,14.4,22,0.45,0.6,3.3,0.31,DET
KhyriThomas,Langston Galloway,2,5.35,27,0.15,0.4,0.7,0.3205,DET
BlakeGriffin,Langston Galloway,12,16.45,27,0.25,0.6,3.25,0.3585,DET
LangstonGalloway,José Calderón,21,5.35,37,0.1,0.4,1.7,0.3005,DET
ZazaPachulia,Blake Griffin,6,14.2,29,0.35,0.6,3.35,0.181,DET
ReggieJackson,Zaza Pachulia,6,9.65,34,0.2,0.6,2.75,0.1845,DET
LangstonGalloway,Reggie Jackson,17,11.9,28,0.1,0.6,2.65,0.362,DET
LangstonGalloway,Bruce Brown,2,6.35,22,0.3,0.5,1.15,0.3065,DET
ReggieBullock,Langston Galloway,4,10.25,27,0.1,0.5,1.8,0.3715,DET
ReggieBullock,Luke Kennard,4,10.9,22,0.15,0.45,2.15,0.391,DET
ZazaPachulia,Jon Leuer,3,3.85,29,0.2,0.4,0.8,0.0455,DET
LukeKennard,Stanley Johnson,9,8.6,22,0.25,0.7,1.55,0.338,DET
JonLeuer,Stanley Johnson,4,5.65,22,0.2,0.65,0.8,0.1865,DET
BruceBrown,Stanley Johnson,1,5.9,22,0.4,0.75,1.25,0.27,DET
JoséCalderón,Blake Griffin,7,13.4,29,0.25,0.5,3.85,0.304,DET
JoséCalderón,Bruce Brown,2,3.3,22,0.3,0.4,1.75,0.252,DET
JonLeuer,Langston Galloway,5,6.1,27,0.1,0.4,0.7,0.223,DET
JoséCalderón,Stanley Johnson,2,4.9,22,0.2,0.65,1.8,0.264,DET
AndreDrummond,José Calderón,5,9.8,37,0.9,1,1.85,0.189,DET
JoséCalderón,Langston Galloway,1,5.35,27,0.1,0.4,1.7,0.3005,DET
KhyriThomas,Reggie Jackson,3,8.85,28,0.15,0.5,2.25,0.3275,DET
KhyriThomas,José Calderón,1,2.3,37,0.15,0.3,1.3,0.266,DET
BruceBrown,Reggie Bullock,7,8.2,27,0.3,0.5,1.85,0.323,DET
KhyriThomas,Reggie Bullock,2,7.2,27,0.15,0.4,1.4,0.337,DET
LangstonGalloway,Stanley Johnson,12,7.95,22,0.2,0.75,1.2,0.3185,DET
JonLeuer,Reggie Jackson,5,9.6,28,0.1,0.5,2.25,0.23,DET
LangstonGalloway,Blake Griffin,38,16.45,29,0.25,0.6,3.25,0.3585,DET
KhyriThomas,Glenn Robinson III,1,3.25,25,0.2,0.3,0.35,0.288,DET
BruceBrown,Blake Griffin,24,14.4,29,0.45,0.6,3.3,0.31,DET
LangstonGalloway,Luke Kennard,16,9.05,22,0.15,0.45,1.45,0.3745,DET
StanleyJohnson,Langston Galloway,8,7.95,27,0.2,0.75,1.2,0.3185,DET
JoséCalderón,Andre Drummond,2,9.8,25,0.9,1,1.85,0.189,DET
LukeKennard,Reggie Bullock,2,10.9,27,0.15,0.45,2.15,0.391,DET
LukeKennard,Langston Galloway,11,9.05,27,0.15,0.45,1.45,0.3745,DET
JonLeuer,Blake Griffin,5,14.15,29,0.25,0.5,2.85,0.2265,DET
StanleyJohnson,Andre Drummond,1,12.4,25,1,1.35,1.35,0.207,DET
JonLeuer,Reggie Bullock,2,7.95,27,0.1,0.4,1.4,0.2395,DET
StanleyJohnson,Glenn Robinson III,1,5.85,25,0.25,0.65,0.85,0.286,DET
BlakeGriffin,Stanley Johnson,5,16,22,0.35,0.85,3.35,0.322,DET
IshSmith,José Calderón,1,5.6,37,0.15,0.4,2.95,0.286,DET
StanleyJohnson,Blake Griffin,10,16,29,0.35,0.85,3.35,0.322,DET
ReggieJackson,Langston Galloway,6,11.9,27,0.1,0.6,2.65,0.362,DET
KhyriThomas,Stanley Johnson,1,4.9,22,0.25,0.65,0.8,0.284,DET
ReggieBullock,Glenn Robinson III,5,8.15,25,0.15,0.4,1.45,0.339,DET
IshSmith,Langston Galloway,6,8.65,27,0.15,0.5,2.35,0.3405,DET
ZazaPachulia,Ish Smith,13,6.4,30,0.25,0.5,2.45,0.163,DET
ReggieBullock,Dennis Smith Jr.,3,12.45,21,0.3,0.95,3.4,0.3495,DET
ReggieBullock,Jason Smith,3,7.3,32,0.3,0.4,1.35,0.3615,DET
ReggieBullock,Ish Smith,3,10.5,30,0.15,0.5,3.05,0.357,DET
IshSmith,Stanley Johnson,3,8.2,22,0.25,0.75,2.45,0.304,DET
ReggieBullock,Zaza Pachulia,1,8,34,0.2,0.5,1.9,0.194,DET
JoséCalderón,Reggie Jackson,1,8.85,28,0.1,0.5,3.25,0.3075,DET
StanleyJohnson,Zaza Pachulia,3,5.7,34,0.3,0.75,1.3,0.141,DET
ZazaPachulia,Glenn Robinson III,2,4.05,25,0.25,0.4,0.85,0.145,DET
HenryEllenson,Zaza Pachulia,1,4.95,34,0.15,0.25,0.9,0.25,DET
HenryEllenson,José Calderón,2,4.15,37,0.05,0.15,1.4,0.373,DET
LukeKennard,Henry Ellenson,1,7.85,22,0.1,0.2,1.15,0.447,DET
BruceBrown,Luke Kennard,2,7,22,0.35,0.45,1.5,0.326,DET
ZazaPachulia,Khyri Thomas,3,3.1,22,0.25,0.4,0.8,0.143,DET
JonLeuer,Zaza Pachulia,2,3.85,34,0.2,0.4,0.8,0.0455,DET
KhyriThomas,Bruce Brown,1,3.3,22,0.35,0.4,0.75,0.272,DET
BruceBrown,Khyri Thomas,1,3.3,22,0.35,0.4,0.75,0.272,DET
ZazaPachulia,José Calderón,4,3.1,37,0.2,0.4,1.8,0.123,DET
LukeKennard,José Calderón,6,6,37,0.15,0.35,2.05,0.32,DET
ZazaPachulia,Stanley Johnson,2,5.7,22,0.3,0.75,1.3,0.141,DET
BlakeGriffin,Jon Leuer,2,14.15,29,0.25,0.5,2.85,0.2265,DET
ReggieBullock,Jon Leuer,1,7.95,29,0.1,0.4,1.4,0.2395,DET
LangstonGalloway,Reggie Bullock,6,10.25,27,0.1,0.5,1.8,0.3715,DET
WayneEllington,Blake Griffin,23,18.25,29,0.25,0.9,3.45,0.3675,DET
WayneEllington,Bruce Brown,6,8.15,22,0.3,0.8,1.35,0.3155,DET
WayneEllington,Dennis Smith Jr.,9,11.95,21,0.25,1.15,3.1,0.3465,DET
WayneEllington,Jason Smith,9,6.8,32,0.25,0.6,1.05,0.3585,DET
WayneEllington,Ish Smith,9,10.45,30,0.15,0.8,2.55,0.3495,DET
WayneEllington,Duncan Robinson,2,5.85,24,0.05,0.65,0.75,0.327,DET
WayneEllington,Glenn Robinson III,2,8.1,25,0.15,0.7,0.95,0.3315,DET
WayneEllington,Andre Drummond,20,14.65,25,0.9,1.4,1.45,0.2525,DET
WayneEllington,Justin Jackson,22,8.75,23,0.15,0.7,1.3,0.363,DET
WayneEllington,Reggie Jackson,22,13.7,28,0.1,0.9,2.85,0.371,DET
AndreDrummond,Wayne Ellington,12,14.65,31,0.9,1.4,1.45,0.2525,DET
ReggieJackson,Wayne Ellington,8,13.7,31,0.1,0.9,2.85,0.371,DET
ThonMaker,Luke Kennard,9,7.6,22,0.65,0.4,1.35,0.3505,DET
IshSmith,Luke Kennard,10,9.3,22,0.2,0.45,2.7,0.36,DET
ThonMaker,Dennis Smith Jr.,16,9.3,21,0.6,0.8,2.75,0.321,DET
ThonMaker,Jason Smith,16,4.15,32,0.6,0.25,0.7,0.333,DET
ThonMaker,Jason Smith,16,3.45,32,0.4,0.3,0.35,0.333,DET
ThonMaker,Ish Smith,16,7.2,30,0.65,0.45,2.25,0.3165,DET
LukeKennard,Ish Smith,31,9.3,30,0.2,0.45,2.7,0.36,DET
ThonMaker,Zaza Pachulia,2,4.7,34,0.7,0.45,1.1,0.1535,DET
WayneEllington,Thon Maker,6,7.65,21,0.45,0.65,1.05,0.3455,DET
WayneEllington,Thon Maker,6,8.75,21,0.6,0.75,1.2,0.34,DET
BlakeGriffin,Wayne Ellington,9,18.25,31,0.25,0.9,3.45,0.3675,DET
BruceBrown,Thon Maker,2,4.9,21,0.8,0.45,1.05,0.2825,DET
LangstonGalloway,Andre Drummond,11,12.85,25,0.9,1.1,1.25,0.2435,DET
LangstonGalloway,Thon Maker,9,6.95,21,0.6,0.45,1,0.331,DET
ThonMaker,Justin Jackson,6,6.1,23,0.5,0.35,0.95,0.3375,DET
ThonMaker,Reggie Jackson,6,10.45,28,0.6,0.55,2.55,0.338,DET
ThonMaker,Blake Griffin,4,15,29,0.75,0.55,3.15,0.3345,DET
WayneEllington,Luke Kennard,6,10.85,22,0.15,0.75,1.65,0.3835,DET
ThonMaker,Langston Galloway,3,6.95,27,0.6,0.45,1,0.331,DET
WayneEllington,Zaza Pachulia,1,7.95,34,0.2,0.8,1.4,0.1865,DET
BruceBrown,Wayne Ellington,5,8.15,31,0.3,0.8,1.35,0.3155,DET
ThonMaker,Wayne Ellington,1,7.65,31,0.45,0.65,1.05,0.3455,DET
ThonMaker,Wayne Ellington,1,8.75,31,0.6,0.75,1.2,0.34,DET
LangstonGalloway,Glenn Robinson III,2,6.3,25,0.15,0.4,0.75,0.3225,DET
ZazaPachulia,Langston Galloway,5,6.15,27,0.2,0.5,1.2,0.1775,DET
AndreDrummond,Glenn Robinson III,3,10.75,25,0.95,1,0.9,0.211,DET
ZazaPachulia,Bruce Brown,3,4.1,22,0.4,0.5,1.25,0.129,DET
ReggieBullock,B.J. Johnson,2,7.3,23,0.1,0.45,1,0.403,DET
ReggieBullock,Stanley Johnson,2,9.1,22,0.2,0.75,1.65,0.3325,DET
ReggieBullock,Tyler Johnson,2,11.1,26,0.35,0.75,2.45,0.3615,DET
ReggieBullock,Wesley Johnson,2,7.35,31,0.25,0.5,1.3,0.353,DET
ReggieBullock,Stanley Johnson,2,9.8,22,0.2,0.75,1.9,0.335,DET
IshSmith,Wayne Ellington,3,10.45,31,0.15,0.8,2.55,0.3495,DET
LangstonGalloway,Kalin Lucas,1,5.2,29,0.05,0.25,1.05,0.1775,DET
JoséCalderón,Luke Kennard,1,6,22,0.15,0.35,2.05,0.32,DET
LukeKennard,Thon Maker,5,7.6,21,0.65,0.4,1.35,0.3505,DET
ThonMaker,Sviatoslav Mykhailiuk,1,4.1,21,0.4,0.3,0.8,0.323,DET
ThonMaker,Sviatoslav Mykhailiuk,1,3.75,21,0.55,0.35,1.1,0.4035,DET
AndreDrummond,Thon Maker,2,11.4,21,1.4,1.05,1.15,0.2195,DET
BruceBrown,Jon Leuer,2,4.05,29,0.3,0.4,0.75,0.1745,DET
BruceBrown,Andre Drummond,7,10.8,25,1.1,1.1,1.3,0.195,DET
ReggieJackson,Glenn Robinson III,2,9.8,25,0.15,0.5,2.3,0.3295,DET
BruceBrown,Zaza Pachulia,4,4.1,34,0.4,0.5,1.25,0.129,DET
IshSmith,Bruce Brown,1,6.6,22,0.35,0.5,2.4,0.292,DET
BruceBrown,Ish Smith,5,6.6,30,0.35,0.5,2.4,0.292,DET
BruceBrown,Langston Galloway,1,6.35,27,0.3,0.5,1.15,0.3065,DET
ZazaPachulia,Reggie Bullock,1,8,27,0.2,0.5,1.9,0.194,DET
BlakeGriffin,Glenn Robinson III,2,14.35,25,0.3,0.5,2.9,0.326,DET
LangstonGalloway,Khyri Thomas,1,5.35,22,0.15,0.4,0.7,0.3205,DET
JoséCalderón,Ish Smith,1,5.6,30,0.15,0.4,2.95,0.286,DET
StanleyJohnson,Reggie Bullock,2,9.1,27,0.2,0.75,1.65,0.3325,DET
StanleyJohnson,Reggie Bullock,2,9.8,27,0.2,0.75,1.9,0.335,DET
ReggieJackson,José Calderón,1,8.85,37,0.1,0.5,3.25,0.3075,DET
KhyriThomas,Zaza Pachulia,1,3.1,34,0.25,0.4,0.8,0.143,DET
StanleyJohnson,Bruce Brown,2,5.9,22,0.4,0.75,1.25,0.27,DET
IshSmith,Zaza Pachulia,3,6.4,34,0.25,0.5,2.45,0.163,DET
ThonMaker,Andre Drummond,2,11.4,25,1.4,1.05,1.15,0.2195,DET
JonLeuer,Thon Maker,1,4.65,21,0.6,0.35,0.6,0.199,DET
ThonMaker,José Calderón,1,3.9,37,0.6,0.35,1.6,0.2765,DET
WayneEllington,Langston Galloway,1,10.2,27,0.1,0.8,1.3,0.364,DET
KhyriThomas,Thon Maker,2,3.9,21,0.65,0.35,0.6,0.2965,DET
KhyriThomas,Jon Leuer,1,3.05,29,0.15,0.3,0.3,0.1885,DET
JonLeuer,Wayne Ellington,1,7.9,31,0.1,0.7,0.9,0.232,DET
JonLeuer,Ish Smith,1,6.35,30,0.15,0.4,1.95,0.2085,DET
LukeKennard,Wayne Ellington,2,10.85,31,0.15,0.75,1.65,0.3835,DET
BlakeGriffin,Zaza Pachulia,2,14.2,34,0.35,0.6,3.35,0.181,DET
BruceBrown,Glenn Robinson III,1,4.25,25,0.35,0.4,0.8,0.274,DET
KhyriThomas,Luke Kennard,1,6,22,0.2,0.35,1.05,0.34,DET
KhyriThomas,Ish Smith,1,5.6,30,0.2,0.4,1.95,0.306,DET
