,road,count
15,忠孝東路,756
18,承德路,642
11,基隆路,551
24,羅斯福路,421
26,興隆路,337
8,南京東路,325
10,和平東路,307
6,八德路,299
22,民權西路,214
5,內湖路1段,178
1,中正路,152
4,光復南路,132
2,中華路1段,118
27,西園路2段,101
20,民族東路,92
9,南京西路,80
21,民權東路1段,61
7,公園路,53
14,建國北路3段,52
12,塔悠路,48
3,健康路,38
28,逸仙路,34
16,愛國東路,25
25,至善路1段,21
13,寶慶路,17
19,杭州南路2段,16
17,承德橋,13
23,立賢路,12
0,中山橋,6
