year,PM25_中部,PM25_北部,PM25_宜蘭,PM25_花東,PM25_高屏,PM25_雲嘉南,PM25_竹苗
2011,35.037007402315,26.7727499895666,19.8124319052391,16.620119202876,41.8270268615756,35.564204763748,29.3253586784463
2012,30.8852797427058,23.4413354818761,17.8191659243071,14.1814595854323,36.8580860113855,32.6808116600608,24.7189631816564
2013,32.4874451621513,25.6341452752842,19.7088082899058,14.5557187517913,38.0658305884717,34.6336717682472,26.3851481283029
2014,26.9146610076771,23.0013049197652,20.5812509564927,17.5694758837395,26.6806194688388,27.6392758674342,23.915144207816
2015,23.7209719605709,20.2423679327743,18.7220347824503,16.0754422658645,23.2160274670713,23.8687527340213,20.5349717122658
2016,22.780896844586,18.1765687130739,13.3989066107796,13.3649591747527,23.8868121233072,24.8804828520928,19.6096559306123
