Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
ATL,Kevin Huerter,Trae Young,68,14.4,20,0.25,0.9,5.5,0.3545,KevinHuerter
ATL,Trae Young,DeAndre' Bembry,14,13.75,24,0.35,1.1,5.3,0.3065,TraeYoung
ATL,Trae Young,Deyonta Davis,1,11.55,22,0.4,0.6,4.35,0.162,TraeYoung
ATL,Vince Carter,Kevin Huerter,13,8.55,20,0.35,0.75,2,0.387,VinceCarter
ATL,Trae Young,Kevin Huerter,28,14.4,20,0.25,0.9,5.5,0.3545,TraeYoung
ATL,John Collins,Kevin Huerter,40,14.6,20,0.45,0.65,2.45,0.3665,JohnCollins
ATL,Justin Anderson,DeAndre' Bembry,4,6.05,24,0.4,0.9,1.5,0.3005,JustinAnderson
ATL,Kent Bazemore,DeAndre' Bembry,16,10,24,0.55,1.3,2.4,0.3045,KentBazemore
ATL,DeAndre' Bembry,Alex Len,10,9.75,25,0.7,0.85,1.8,0.326,DeAndre'Bembry
ATL,John Collins,Alex Len,6,15.3,25,0.75,0.4,1.55,0.3555,JohnCollins
ATL,Kevin Huerter,Kent Bazemore,12,10.65,29,0.45,1.1,2.6,0.3525,KevinHuerter
ATL,Deyonta Davis,Jaylen Adams,3,3.6,22,0.35,0.35,1.25,0.169,DeyontaDavis
ATL,Vince Carter,Deyonta Davis,1,5.7,22,0.5,0.45,0.85,0.1945,VinceCarter
ATL,Justin Anderson,Kent Bazemore,2,7.65,29,0.45,0.9,1.4,0.316,JustinAnderson
ATL,DeAndre' Bembry,Jaylen Adams,9,5.8,22,0.3,0.85,2.2,0.3135,DeAndre'Bembry
ATL,Kevin Huerter,Deyonta Davis,1,6.85,22,0.45,0.6,1.75,0.1925,KevinHuerter
ATL,Alex Len,Jaylen Adams,17,7.15,22,0.5,0.4,1.5,0.3505,AlexLen
ATL,Trae Young,Vince Carter,9,13.25,42,0.3,0.75,4.6,0.3565,TraeYoung
ATL,Kent Bazemore,Jaylen Adams,10,7.4,22,0.35,0.85,2.1,0.329,KentBazemore
ATL,DeAndre' Bembry,Vince Carter,13,7.9,42,0.45,0.95,1.8,0.339,DeAndre'Bembry
ATL,Jaylen Adams,Kent Bazemore,1,7.4,29,0.35,0.85,2.1,0.329,JaylenAdams
ATL,Kent Bazemore,Vince Carter,12,9.5,42,0.5,0.95,1.7,0.3545,KentBazemore
ATL,Trae Young,Dewayne Dedmon,16,14.95,29,0.65,1,4.75,0.353,TraeYoung
ATL,Trae Young,Alex Len,14,15.1,25,0.55,0.65,4.6,0.3435,TraeYoung
