,lon,lat,value,radius
222924,121.549232,25.054298,2,5
222955,121.567485,25.042285999999997,2,5
222972,121.51122,25.062788,3,8
223027,121.544522,24.998639999999998,2,5
223075,121.508875,25.056895,2,5
223087,121.590595,25.040391,2,5
223112,121.586358,25.045194,4,10
223116,121.499076,25.128307999999997,2,5
223127,121.50621699999999,25.045818,2,5
223149,121.518382,25.089947,2,5
223153,121.57925700000001,25.037105,2,5
223170,121.55141299999998,24.991589,1,2
223196,121.578471,25.066654,2,5
223216,121.512316,25.101561,2,5
223241,121.511518,25.035239,4,10
223243,121.512442,25.035029,3,8
223245,121.56848400000001,25.038178,2,5
223270,121.565698,25.060260999999997,2,5
223279,121.51114399999999,25.063948,2,5
223296,121.538142,25.112584,2,5
223303,121.528443,25.107713,2,5
223304,121.51176799999999,25.063057,3,8
223323,121.554135,24.999842,2,5
223327,121.49578100000001,25.027447,2,5
223332,121.5806,25.045765,3,8
223366,121.617512,25.039855,2,5
223376,121.59003200000001,25.079722,2,5
223387,121.498772,25.127502,3,8
223391,121.53923999999999,25.04842,4,10
223392,121.529881,25.113719,2,5
223407,121.54436000000001,25.079666,2,5
223416,121.56158300000001,24.988803,2,5
223419,121.50837299999999,25.063523999999997,2,5
223424,121.563184,25.06092,2,5
223427,121.578519,25.079451000000002,3,8
223446,121.577698,25.048399,1,2
223461,121.508893,25.065822,3,8
223483,121.519699,25.045547,3,8
223498,121.533197,25.106921,2,5
223530,121.59201000000002,25.059406,2,5
223535,121.611433,25.063988000000002,2,5
223545,121.51898700000001,25.041812,2,5
223546,121.52075400000001,25.089883,2,5
223566,121.516535,25.021805999999998,2,5
223567,121.60358000000001,25.061166,2,5
223575,121.533166,25.044416000000002,2,5
223577,121.54458400000001,24.998527,3,8
223600,121.52604099999999,25.037689999999998,2,5
223609,121.540872,24.993282,2,5
223627,121.507919,25.049638,3,8
223631,121.51345500000001,25.114473999999998,3,8
223644,121.4976,25.020132,2,5
223660,121.586256,25.075966,2,5
223710,121.53851399999999,25.062435,2,5
223711,121.527685,25.10138,3,8
223726,121.56854799999999,25.041173,2,5
223772,121.53038799999999,25.026506,3,8
223777,121.544223,25.056103,2,5
223814,121.53643799999999,25.047404,4,10
223817,121.51380800000001,25.068645999999998,2,5
223818,121.602154,25.083764000000002,2,5
223827,121.57771699999999,25.039671,2,5
223829,121.525599,25.05494,2,5
223834,121.54871200000001,25.024481,2,5
223837,121.607129,25.07563,3,8
223839,121.572226,25.049216,2,5
223853,121.59096799999999,25.082522,2,5
223887,121.559946,25.045878,2,5
223901,121.54334899999999,25.14292,2,5
223910,121.538325,25.066833,2,5
223921,121.54478,25.16313,2,5
223978,121.538001,25.03079,2,5
223993,121.54879199999999,25.057724,2,5
223999,121.50466100000001,25.049548,2,5
224006,121.567457,25.045845,4,10
224011,121.539249,25.102477,1,2
224038,121.589977,25.086876999999998,3,8
224065,121.52721899999999,25.059128,2,5
224070,121.566202,25.026154000000002,2,5
224103,121.51083999999999,25.056924,2,5
224109,121.49981399999999,25.027834,2,5
224113,121.53846499999999,25.054675,2,5
224126,121.537027,25.065001000000002,2,5
224130,121.60749299999999,25.054496,2,5
224131,121.54593799999999,25.033198000000002,2,5
224143,121.558898,25.041239,2,5
224149,121.51726299999999,25.045460000000002,2,5
224152,121.522617,25.086935999999998,1,2
224163,121.605525,25.051942,2,5
224169,121.614173,25.058415,2,5
224176,121.610142,25.07131,2,5
224191,121.50204,25.124335000000002,2,5
224192,121.50181699999999,25.124851,2,5
224199,121.517955,25.038729,2,5
224202,121.59050500000001,25.053689000000002,1,2
224205,121.49072199999999,25.031367000000003,2,5
224212,121.549353,25.01747,3,8
224218,121.504177,25.019946,1,2
224231,121.523831,25.030581,2,5
224235,121.532624,25.062483,3,8
224247,121.58359899999999,25.078568,2,5
224303,121.53956699999999,24.991429999999998,2,5
224304,121.558824,24.998026,2,5
224322,121.568758,25.042289999999998,3,8
224345,121.593635,25.084815,2,5
224363,121.514179,25.096068,2,5
224366,121.53409099999999,25.013803,2,5
224388,121.524996,25.118478,2,5
224396,121.53774299999999,25.040778,2,5
224400,121.518851,25.043689999999998,1,2
224408,121.52121299999999,25.096071,3,8
224411,121.55456000000001,25.000903,2,5
224436,121.510826,25.068749,2,5
224449,121.515,25.114578,1,2
224468,121.544481,25.042699,2,5
224476,121.537396,25.007609,3,8
224489,121.569479,25.051422,2,5
224508,121.509716,25.084963000000002,1,2
224512,121.615489,25.045211,2,5
224516,121.54948600000002,25.080034,2,5
224557,121.532926,25.054794,2,5
224633,121.53256599999999,25.035667,2,5
224652,121.54083200000001,25.062795,3,8
224669,121.56115600000001,25.048566,3,8
224686,121.52191,25.094359,2,5
224696,121.58263899999999,25.045334,2,5
224742,121.523068,25.068497,2,5
224757,121.557217,25.038398,2,5
224760,121.571979,25.042298000000002,2,5
224801,121.558348,25.005820999999997,2,5
224815,121.554354,25.032578,3,8
224818,121.54418600000001,25.053320000000003,2,5
224887,121.59418000000001,25.055572,1,2
224912,121.530282,25.096259,2,5
224933,121.54701499999999,25.019235000000002,2,5
224970,121.559874,25.033057,1,2
224985,121.524052,25.032056,3,8
225030,121.516347,25.026158,2,5
225032,121.555994,25.027324,1,2
225040,121.543577,25.038184,2,5
225045,121.523454,25.083824,2,5
225046,121.562909,25.041106,1,2
225063,121.519026,25.031566,2,5
225078,121.590946,25.068436,2,5
225099,121.52944199999999,25.038963,2,5
225104,121.543878,25.048955,3,8
225106,121.55161299999999,25.01799,2,5
225114,121.54240700000001,25.061448000000002,3,8
225133,121.539749,25.025289,2,5
225137,121.503096,25.028765,2,5
225138,121.569773,25.051185999999998,2,5
225147,121.54858,25.038729999999997,2,5
225160,121.499908,25.040397,2,5
225169,121.50276699999999,25.118201000000003,2,5
225173,121.59319199999999,25.054467000000002,3,8
225248,121.50820800000001,25.115009,2,5
225253,121.51753799999999,25.084328,2,5
225268,121.529496,25.048066,2,5
225283,121.497398,25.135984,2,5
225284,121.536495,25.050770999999997,2,5
225381,121.524932,25.103953,1,2
225383,121.525595,25.060469,2,5
225393,121.578496,25.066656,2,5
225394,121.51364099999999,25.068632,3,8
225432,121.55625900000001,25.025804,3,8
225436,121.54449199999999,25.044794,2,5
225441,121.509155,25.0865,2,5
225489,121.53621499999998,25.011006,2,5
225494,121.51969199999999,25.045502,2,5
225495,121.51221299999999,25.114017999999998,2,5
225499,121.58953600000001,25.086095,2,5
225548,121.51460300000001,25.024053,3,8
225601,121.578128,25.067535999999997,3,8
225615,121.55227,25.025074,2,5
225658,121.59566399999999,25.050924,2,5
225667,121.50366299999999,25.137282,1,2
225675,121.537025,25.025789000000003,3,8
225677,121.58813700000002,25.068967,2,5
225696,121.540406,25.047755,2,5
225698,121.52244099999999,25.027175,2,5
225700,121.55793100000001,25.050520000000002,3,8
225714,121.530295,25.096248000000003,2,5
225729,121.574532,24.998097,2,5
225735,121.55788799999999,25.04813,2,5
225764,121.499328,25.035199,2,5
225776,121.51726799999999,25.039175,1,2
225792,121.57513300000001,25.034922,2,5
225795,121.53951799999999,24.988478,2,5
225808,121.586051,25.067975,2,5
225810,121.504221,25.121419,2,5
225829,121.54748899999998,25.050122,2,5
225861,121.572477,25.018153,2,5
225872,121.54936399999998,25.082739,2,5
225888,121.522728,25.032388,4,10
225893,121.53874499999999,25.021853,2,5
225896,121.51205700000001,25.104731,1,2
225917,121.56616399999999,25.041083999999998,2,5
225921,121.53238999999999,25.098385,2,5
225931,121.543582,25.029804000000002,2,5
225941,121.56313899999999,25.076154000000002,2,5
225942,121.532711,25.109236,2,5
225962,121.508882,25.029460999999998,2,5
225993,121.53026200000001,25.060332,2,5
225998,121.529009,25.059934,3,8
226016,121.57001299999999,25.078623,2,5
