road,hour,avgSpd
中正路,12,37.3153572857143
中正路,11,37.4685844285714
中正路,10,36.8629300714286
中正路,9,38.3091080357143
中正路,8,39.1750698333333
中正路,7,41.5661500357143
中正路,6,49.5214919642857
中正路,5,50.8431679285714
中正路,4,50.1022711428572
中正路,3,49.1206741428572
中正路,2,48.54834925
中正路,1,46.7024585714286
中正路,0,48.9390126785714
中正路,23,47.6153170357143
中正路,22,41.9177159285714
中正路,21,40.2143828214286
中正路,20,38.1005702142857
中正路,19,35.7924378214286
中正路,18,35.6949566785714
中正路,17,32.0719048214286
中正路,16,35.3060816785714
中正路,15,36.2656490714286
中正路,14,36.2944151071429
中正路,13,37.4577127857143
中華路,12,29.9871495238095
中華路,11,30.4755664761905
中華路,10,31.4649574285714
中華路,9,31.0498131428572
中華路,8,30.4997913333333
中華路,7,34.1284543809524
中華路,6,37.2526240952381
中華路,5,41.3513985714286
中華路,4,43.449039952381
中華路,3,44.5149469047619
中華路,2,41.7353420476191
中華路,1,41.1021294761905
中華路,0,38.539982
中華路,23,34.0935318095238
中華路,22,31.4426938095238
中華路,21,29.239103
中華路,20,29.2823004761905
中華路,19,27.9219638095238
中華路,18,27.7413697619048
中華路,17,26.8520832380952
中華路,16,31.260113
中華路,15,31.2946739523809
中華路,14,31.6302065238095
中華路,13,30.4276966190476
健康路,12,40.4784281785714
健康路,11,39.8771461071429
健康路,10,40.2255752142857
健康路,9,40.8726684285714
健康路,8,40.5877834583333
健康路,7,42.8092228571429
健康路,6,43.1417134285714
健康路,5,45.8186649642857
健康路,4,35.3428571428572
健康路,3,38.1940477142857
健康路,2,37.6604823214286
健康路,1,43.3264313214286
健康路,0,45.3703129642857
健康路,23,43.6649016428571
健康路,22,41.596104
健康路,21,40.14792525
健康路,20,39.9181169642857
健康路,19,37.3925708928571
健康路,18,38.8267562142857
健康路,17,39.6399122857143
健康路,16,39.9892136071429
健康路,15,40.2153779642857
健康路,14,40.52039575
健康路,13,40.3984379642857
