,lon,lat,value,radius,color
2125,121.523602,25.060233,2,1,#DDD23B
2137,121.521499,25.088788,2,1,#DDD23B
2193,121.547725,25.028709,2,1,#DDD23B
2251,121.51901200000002,25.026,2,1,#DDD23B
2288,121.555016,25.051701,3,3,#DDD23B
2310,121.551643,24.992544,2,1,#DDD23B
2321,121.513098,25.083722,2,1,#DDD23B
2326,121.60748799999999,25.073523,3,3,#DDD23B
2354,121.576613,24.996491,2,1,#DDD23B
2392,121.56223999999999,25.037077,1,1,#DDD23B
2448,121.56362299999999,25.035904000000002,2,1,#DDD23B
2457,121.51316899999999,25.026419,2,1,#DDD23B
2523,121.50081599999999,25.043984,1,1,#DDD23B
2542,121.5636,25.028081,3,3,#DDD23B
2543,121.546095,25.040557,3,3,#DDD23B
2552,121.589514,25.045694,2,1,#DDD23B
2556,121.583418,25.040737,2,1,#DDD23B
2582,121.54440600000001,25.138629,2,1,#DDD23B
2595,121.49584499999999,25.035631,2,1,#DDD23B
2600,121.52271100000002,25.055,2,1,#DDD23B
2601,121.52849499999999,25.062425,2,1,#DDD23B
2618,121.57191100000001,24.995914000000003,2,1,#DDD23B
2631,121.595735,25.083506,2,1,#DDD23B
2639,121.566281,25.035866,2,1,#DDD23B
2655,121.554629,25.022332000000002,2,1,#DDD23B
2669,121.52108999999999,25.115282,1,1,#DDD23B
2671,121.584207,25.068906,3,3,#DDD23B
2675,121.554822,25.001316,2,1,#DDD23B
2676,121.490793,25.102792,2,1,#DDD23B
2687,121.521271,25.041446,2,1,#DDD23B
2692,121.48343700000001,25.13736,3,3,#DDD23B
2696,121.554048,24.999868,2,1,#DDD23B
2711,121.53258100000001,25.036126,2,1,#DDD23B
2716,121.500429,25.038569,2,1,#DDD23B
2745,121.539125,25.004321,2,1,#DDD23B
2749,121.499443,25.141272,2,1,#DDD23B
2753,121.54874299999999,25.050109,4,5,#DDD23B
2806,121.514705,25.062889000000002,2,1,#DDD23B
2841,121.51261699999999,25.024604999999998,2,1,#DDD23B
2866,121.578103,25.061842000000002,2,1,#DDD23B
2920,121.49856399999999,25.040714,2,1,#DDD23B
2923,121.56718300000001,24.983558,3,3,#DDD23B
2951,121.501281,25.035273999999998,2,1,#DDD23B
2989,121.568478,25.036635999999998,2,1,#DDD23B
3015,121.484596,25.134354000000002,3,3,#DDD23B
3019,121.60084099999999,25.060827,2,1,#DDD23B
3058,121.502553,25.138322,2,1,#DDD23B
3097,121.55975,25.084975,3,3,#DDD23B
3179,121.56611299999999,25.047622,3,3,#DDD23B
